unix_timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1784518680.8847563,-0.03943,0.04506,-0.99197,-0.01922,-0.05027,0.6405
1784518681.087767,-0.01765,0.0045,-0.99985,0.00045,-0.00746,0.50124
1784518681.087767,-0.01059,-0.04593,-1.00433,0.0229,-0.01668,0.56868
1784518681.2914414,-0.0127,-0.01042,-1.00429,0.00073,0.00434,0.53676
1784518681.2955987,-0.02465,0.00672,-0.99881,0.00767,-0.00042,0.52991
1784518681.4944475,0.00137,0.01819,-1.00517,-0.02097,0.005,0.49423
1784518681.7010608,-0.01632,-0.02805,-0.99484,0.02376,0.00603,0.53078
1784518681.716822,-0.02922,0.03798,-0.9988,-0.00165,-0.00175,0.56938
1784518681.90769,-0.00742,0.02039,-0.9971,0.0163,-0.00179,0.48332
1784518681.9158325,0.00111,-0.00976,-1.00276,0.02044,-0.00958,0.51588
1784518682.107963,0.01829,0.00915,-0.99129,-0.00255,9e-05,0.50419
1784518682.1191459,-0.01209,0.02646,-0.99228,0.00799,-0.00511,0.45333
1784518682.310318,-0.00713,0.01488,-1.00261,0.00892,0.00444,0.47855
1784518682.5093458,0.01417,-0.00284,-1.00007,0.02342,0.00514,0.53606
1784518682.7252889,-0.00064,0.11958,-1.0004,-0.0109,-0.02007,0.01947
1784518682.7318301,0.23235,0.03238,-1.00478,0.01738,0.07088,0.05063
1784518682.9285953,0.12321,-0.01202,-1.01619,0.03186,-0.03955,0.00027
1784518683.0032449,0.11892,-0.00118,-1.00435,0.03617,-0.03282,-0.00804
1784518683.1313217,-0.12413,0.01363,-0.98243,-0.05586,-0.0082,0.01993
1784518683.339266,0.10658,0.00174,-1.08441,-0.0098,0.03587,-0.00286
1784518683.5404146,-0.26019,0.00026,-1.00572,0.05071,-0.02775,0.01741
1784518683.7495215,-0.22987,0.01606,-0.96551,0.01173,0.013,0.00055
1784518683.9494138,-0.18308,0.0007,-0.98879,0.02067,0.01831,0.03152
1784518684.1589987,0.1647,-0.00017,-1.01988,0.00392,-0.01358,0.00884
1784518684.3643506,-0.02981,0.0243,-0.99102,-0.00485,0.00333,0.01483
1784518684.366352,-0.0284,0.00175,-1.00238,-0.02262,-0.00313,0.00484
1784518684.5659184,-0.03554,0.00945,-0.99358,0.01112,0.00406,-0.01366
1784518684.7711241,-0.02811,0.00462,-1.00962,-0.00284,-0.00142,0.00431
