unix_timestamp,x,y,z
1787580499.778753,0.00024,-0.00068,0.0
1787580500.9087808,-0.00017,-0.00095,0.0
1787580501.9242647,-0.00031,-0.00133,0.0
1787580502.8473213,-0.00129,-0.00246,0.0
1787580503.8410406,-0.00146,-0.00239,0.0
1787580504.8950305,6e-05,-0.00265,0.0
1787580505.9160647,0.00015,-0.00267,0.0
1787580506.9436665,0.00525,-0.00906,0.0
1787580507.9376414,-0.00436,-0.00324,0.0
1787580509.1058836,-0.00365,-0.00437,0.0
1787580510.0155199,-0.00236,-0.00622,0.0
1787580510.9822602,-0.0022,-0.00511,0.0
1787580644.5647435,0.0,0.0,0.0
1787580645.5907218,2e-05,-3e-05,0.0
1787580646.6120403,-0.0006,-1e-05,0.0
1787580675.0666401,0.0,0.0,0.0
1787580676.0854814,1e-05,-5e-05,0.0
1787580677.1289396,-3e-05,0.0001,0.0
1787580694.8566859,0.0,0.0,0.0
1787580695.9416263,3e-05,1e-05,0.0
1787580696.8556933,9e-05,-3e-05,0.0
1787580737.1278224,0.0,0.0,0.0
1787580738.1708868,-2e-05,-5e-05,0.0
1787580739.1696808,-9e-05,-3e-05,0.0
1787580740.2011478,-6e-05,-1e-05,0.0
1787580741.2252986,-0.00111,0.00013,0.0
1787580742.2522302,-0.00108,0.00013,0.0
1787580743.2868114,-0.00116,-0.00057,0.0
1787580744.2630558,-0.00048,-0.00109,0.0
1787580745.3216968,-0.00053,-0.00197,0.0
1787580746.348991,-0.00031,-0.0019,0.0
1787580747.29302,0.00392,-0.00428,0.0
1787580748.2988458,-0.00174,-0.00135,0.0
1787580749.3137596,0.00038,-0.00247,0.0
1787580750.333934,0.00171,-0.0021,0.0
1787580751.4645452,0.00272,-0.00226,0.0
1787580752.3973198,-0.00435,-0.0132,0.0
1787580766.474178,0.0,0.0,0.0
1787580767.5544758,-4e-05,-6e-05,0.0
1787580768.5204282,-5e-05,1e-05,0.0
1787580769.5046241,-6e-05,-6e-05,0.0
1787580770.6184025,-0.00064,-0.00077,0.0
1787580771.6225889,-0.00023,-0.00082,0.0
1787580772.6379848,-0.00052,-0.00032,0.0
1787580773.5884426,4e-05,0.00042,0.0
1787580774.6143286,0.00121,0.00024,0.0
1787580775.63816,0.00109,0.00019,0.0
1787580776.6550477,0.00919,0.00062,0.0
1787580777.6934602,-0.00028,0.00331,0.0
1787580778.7148125,0.00163,0.00225,0.0
1787580779.724425,0.00151,0.00214,0.0
1787580780.8653684,0.00148,0.00328,0.0
1787580781.774368,0.00127,0.00327,0.0
1787580892.3642132,0.0,0.0,0.0
1787580893.4788482,3e-05,2e-05,0.0
1787580894.4124181,-0.0,0.0001,0.0
1787580895.4456563,-1e-05,0.0,0.0
1787580896.4662478,-0.0,-4e-05,0.0
1787580897.474801,0.0006,-0.00125,0.0
1787580898.5086935,0.0016,0.0008,0.0
1787580899.4747002,0.00202,0.00084,0.0
1787580900.557458,0.00252,0.00126,0.0
1787580901.535562,0.20864,0.00869,0.0
1787580902.5357566,0.70003,0.02594,0.0
1787580903.5334182,1.19296,0.11074,0.0
1787580904.6000104,1.69352,0.24589,0.0
1787580905.6321611,1.99916,0.37269,0.0
1787580906.635243,2.3142,0.62822,0.0
1787580907.5636613,2.54979,0.61479,0.0
1787580908.6369228,3.08438,0.69326,0.0
1787580909.635131,3.56355,0.71651,0.0
1787580910.6401336,3.97288,0.73772,0.0
1787580911.6765695,4.1162,0.98343,0.0
1787580912.757087,4.25607,1.28179,0.0
1787580913.7774827,4.25271,1.24466,0.0
1787580914.8625288,4.23086,1.24409,0.0
1787580915.8416364,4.23091,1.24386,0.0
1787580916.7694125,4.14611,1.48181,0.0
1787580917.7960637,3.98003,1.94857,0.0
1787580918.7767704,3.93603,2.04233,0.0
1787580919.8135996,3.9301,2.05751,0.0
1787580920.8417761,3.94552,1.97782,0.0
1787580921.8566833,3.95757,1.95626,0.0
1787580949.9108973,0.0,0.0,0.0
1787580951.0238822,0.00028,0.0006,0.0
1787580951.9660866,0.00013,0.001,0.0
1787580952.9798174,-0.0004,0.00125,0.0
1787580954.0124872,-0.00013,0.00065,0.0
1787580955.0228772,-0.0003,0.00076,0.0
1787580956.048504,0.00022,-0.00065,0.0
1787580957.0839965,0.00048,-0.00103,0.0
1787580958.0211067,-5e-05,-0.00168,0.0
1787580959.080683,0.24423,-0.00859,0.0
1787580960.0664206,0.24478,-0.01539,0.0
1787580961.0849826,0.24145,-0.0086,0.0
1787580962.0915189,0.24672,0.18509,0.0
1787580963.1254275,0.24703,0.24999,0.0
1787580964.1306198,0.2461,0.23791,0.0
1787580965.1400352,0.24572,0.23879,0.0
1787580966.2900038,0.2489,0.23909,0.0
1787580977.9776542,0.0,0.0,0.0
1787580979.0145102,-4e-05,-1e-05,0.0
1787580980.081258,-7e-05,-1e-05,0.0
1787580981.0388942,-0.00014,-7e-05,0.0
1787580982.053343,-0.0001,-0.0,0.0
1787580983.086642,-7e-05,-5e-05,0.0
1787580984.115107,0.00289,-0.00029,0.0
1787580985.1338935,0.0028,0.00054,0.0
1787580986.166361,0.0034,8e-05,0.0
1787580987.1670842,0.13862,-0.01041,0.0
1787580988.1930351,0.6566,-0.10425,0.0
1787580989.2319198,0.98579,-0.1785,0.0
1787580990.259359,0.99324,-0.18311,0.0
1787580991.276933,0.98943,-0.18022,0.0
1787580992.2577448,1.03114,0.06113,0.0
1787580993.236995,1.11142,0.52362,0.0
1787580994.2521203,1.14473,0.97883,0.0
1787580995.299021,1.05774,1.50762,0.0
1787580996.4040902,1.01135,1.68116,0.0
1787580997.3357718,1.01733,1.65778,0.0
1787580998.365481,1.0143,1.65375,0.0
1787580999.3717868,1.01282,1.65489,0.0
1787581048.1280544,0.0,0.0,0.0
1787581049.133363,3e-05,3e-05,0.0
1787581050.1340694,-3e-05,-0.00093,0.0
1787581051.094353,-5e-05,-0.00097,0.0
1787581052.216512,-3e-05,-0.00052,0.0
1787581053.1373312,4e-05,-0.00058,0.0
1787581054.1752892,-0.00124,-0.00234,0.0
1787581055.2851584,-0.00086,-0.00214,0.0
1787581056.199472,0.00176,-0.00235,0.0
1787581057.2254744,-0.00141,-0.00326,0.0
1787581058.2506483,0.00697,-0.00572,0.0
1787581059.274761,-0.0013,-0.00243,0.0
1787581060.3017297,0.00043,-0.00411,0.0
1787581061.3190095,0.00204,-0.00371,0.0
1787581062.3488169,0.0014,-0.00321,0.0
1787581063.37267,0.0017,-0.0063,0.0
1787581074.1307762,0.0,0.0,0.0
1787581075.1111917,0.0,5e-05,0.0
1787581076.061149,-4e-05,2e-05,0.0
1787581077.0955427,-3e-05,7e-05,0.0
1787581078.1175706,-0.00116,9e-05,0.0
1787581079.1426337,-0.00115,0.00062,0.0
1787581080.1638882,-0.0002,0.00056,0.0
1787581081.1895206,9e-05,0.00087,0.0
1787581082.2045228,-0.00114,-0.00023,0.0
1787581083.228356,0.17079,0.00061,0.0
1787581084.2282588,0.66477,-0.01544,0.0
1787581085.2110777,1.119,-0.06419,0.0
1787581086.3016112,1.11691,-0.07526,0.0
1787581087.320464,1.11136,-0.06324,0.0
1787581088.2641747,1.12383,0.06899,0.0
1787581089.2734392,1.12831,0.59365,0.0
1787581090.392577,1.09576,0.91863,0.0
1787581091.4243515,1.09405,0.92985,0.0
1787581092.3615487,1.08796,0.86908,0.0
1787581093.390572,1.08791,0.86282,0.0
1787581117.228436,0.0,0.0,0.0
1787581118.2416391,2e-05,-2e-05,0.0
1787581119.290955,0.0005,-0.00077,0.0
1787581120.309805,0.00044,-0.00071,0.0
1787581121.332136,0.00154,-0.00094,0.0
1787581122.352284,0.00151,-0.00094,0.0
1787581123.4286034,0.00137,-0.00177,0.0
1787581124.407686,0.00056,-0.00119,0.0
1787581125.3743958,0.00058,-0.00163,0.0
1787581126.4028494,0.11171,-0.00456,0.0
1787581127.4624417,0.61952,0.01269,0.0
1787581128.4148655,0.84113,0.00336,0.0
1787581129.5188944,0.84745,-5e-05,0.0
1787581130.536022,0.83607,0.00731,0.0
1787581131.4765494,0.83914,0.33862,0.0
1787581132.580524,0.77703,0.85484,0.0
1787581133.524206,0.78015,0.83187,0.0
1787581134.5458698,0.78114,0.82503,0.0
1787581135.5632343,0.77989,0.82674,0.0
1787581161.506739,0.0,0.0,0.0
1787581162.5856292,-7e-05,8e-05,0.0
1787581163.59086,0.00114,0.00045,0.0
1787581164.5460987,0.00136,0.00057,0.0
1787581165.57531,0.00047,3e-05,0.0
1787581166.5692832,0.00061,7e-05,0.0
1787581167.6101604,0.00108,0.00071,0.0
1787581168.6220589,-2e-05,0.00048,0.0
1787581169.6021228,0.00092,0.00205,0.0
1787581170.6342685,0.207,0.00081,0.0
1787581171.6413379,0.69508,0.00353,0.0
1787581172.7289128,1.02547,-0.0176,0.0
1787581173.6796188,1.03138,-0.0214,0.0
1787581174.7077386,1.0253,-0.01017,0.0
1787581175.7346718,1.04007,0.23005,0.0
1787581176.7832246,1.05234,0.75155,0.0
1787581177.8524814,1.04371,0.8458,0.0
1787581178.796074,1.04423,0.84576,0.0
1787581179.826217,1.04414,0.84635,0.0
1787581180.9006293,1.04435,0.84464,0.0
1787581196.5869215,0.0,0.0,0.0
1787581197.513598,-3e-05,-1e-05,0.0
1787581198.5359628,0.00033,0.0002,0.0
1787581199.560626,0.00064,0.00085,0.0
1787581200.5813627,0.00077,0.00107,0.0
1787581201.6068456,3e-05,-2e-05,0.0
1787581202.6199808,-6e-05,-0.00087,0.0
1787581203.6332052,0.00015,-0.00025,0.0
1787581204.6291742,0.00096,-0.0004,0.0
1787581205.6540585,0.2222,-0.002,0.0
1787581206.6696265,0.73731,-0.01823,0.0
