1787584020.672127,0.01592,-0.01552,-0.97117,0.02357,0.04771,0.04975
1787584020.8012514,0.08739,0.0449,-1.19605,0.04397,-0.31718,0.24913
1787584020.8657763,0.09091,0.08388,-0.96524,-0.05152,0.19556,-0.02972
1787584020.9911573,0.13714,-0.02806,-0.99768,0.00097,0.01896,-0.11734
1787584021.1012821,-0.01362,-0.00642,-0.99604,0.01553,0.02957,0.0025
1787584021.2212818,0.00866,0.02328,-0.99266,-0.00283,0.01205,-0.10838
1787584021.29624,-0.10134,-0.01199,-0.99626,-0.00129,0.00352,0.13323
1787584021.4812956,-0.01819,0.07374,-1.00835,-0.0081,-0.04505,-0.11908
1787584021.494097,-0.30752,-0.0881,-1.00628,-0.00909,-0.01864,0.13592
1787584021.6871367,0.32837,0.0207,-0.99441,0.00726,-0.03073,0.08308
1787584021.7124786,-0.25469,-0.03659,-1.03197,-0.0011,-0.02233,0.1661
1787584021.803487,0.11925,0.0486,-0.99703,-0.00024,-0.02425,-0.02668
1787584021.8829842,0.02888,0.03484,-0.9904,0.01476,0.02185,-0.00795
1787584022.1012266,-0.00718,0.00871,-0.99797,0.00127,0.01504,-0.00986
1787584022.1124794,-0.04672,0.00206,-0.9949,0.00827,0.01887,0.01347
1787584022.22651,-0.00274,0.01348,-0.99533,0.00308,0.0144,-0.00598
1787584022.3099377,0.0219,0.0101,-0.9943,0.00643,-0.00968,0.0026
1787584022.4285438,-0.00277,0.00975,-0.99681,-0.00185,-0.00085,0.00833
1787584022.5112236,-0.00264,0.007,-0.99437,-0.00168,0.00369,0.01231
1787584022.6295776,0.00166,0.01231,-0.9981,0.00077,0.00181,0.00865
1787584022.831668,-0.00471,0.01309,-0.99587,0.00326,0.00325,0.00145
1787584022.914952,-0.01505,0.00909,-0.99561,0.00649,-0.00012,0.01134
1787584023.0347037,-0.01181,0.01227,-0.99663,0.00316,0.00432,0.00141
1787584023.1334994,-0.01419,0.0126,-0.99434,0.00483,0.00378,0.00546
1787584023.260787,-0.01252,0.01222,-0.99491,0.00138,0.00472,0.00382
1787584023.3326302,-0.01219,0.01383,-0.99735,0.00494,0.00331,0.00547
1787584023.5364864,-0.01121,0.01378,-0.99562,0.00261,0.00342,0.00041
1787584023.5522337,-0.01412,0.01141,-0.99611,0.0024,0.00382,0.00325
1787584023.650077,-0.01259,0.01137,-0.99446,0.00471,0.00361,0.00018
1787584023.740923,-0.01466,0.01174,-0.99575,0.00227,0.00434,0.00057
1787584023.8261456,-0.0128,0.01275,-0.99388,0.00548,0.00522,0.00336
1787584023.9077878,0.009,0.01186,-0.99479,-0.00082,0.00744,0.00666
1787584024.1521823,-0.02682,0.0088,-0.99744,0.00146,0.00749,0.00579
1787584024.2679,-0.03998,0.01464,-0.99878,-0.0058,0.00074,0.00582
1787584024.4702363,-0.01023,0.01564,-0.99529,0.00198,0.00477,0.00232
1787584024.5736022,-0.01582,0.01147,-0.99684,0.00405,0.00243,0.00507
1787584024.680199,-0.0173,0.01163,-0.99425,0.00279,0.00379,0.0034
1787584024.7685318,-0.01495,0.01166,-0.99616,0.00242,0.00736,0.00666
1787584024.8875968,-0.00956,0.01114,-0.99648,0.0048,0.00722,0.00413
1787584024.9698656,-0.01183,0.01078,-0.99734,0.00656,0.00697,0.00148
1787584025.1841993,-0.01259,0.01094,-0.99482,0.00455,0.00488,0.00332
1787584025.1841993,-0.01419,0.01199,-0.99603,0.0021,0.00042,0.00558
1787584025.3026826,-0.01445,0.0117,-0.9953,0.0029,0.00526,0.00361
1787584025.3799868,-0.01243,0.01177,-0.99655,0.00221,0.00532,0.00263
1787584025.5907671,-0.01144,0.01118,-0.99616,0.00276,0.00316,0.00247
1787584025.5947192,-0.01467,0.01197,-0.99552,0.00544,0.00647,0.00917
1787584025.7901802,-0.01535,0.01216,-0.99465,0.00435,0.00723,0.00656
1787584025.7931838,-0.01175,0.01148,-0.99471,0.00168,0.00146,0.00437
1787584025.9011333,-0.0138,0.01138,-0.99496,0.00497,0.00548,0.00562
1787584025.9967573,-0.012,0.01106,-0.99697,0.00615,0.00314,0.00589
1787584026.0554771,-0.01509,0.01024,-0.99508,0.00216,0.00472,0.00589
1787584026.1930277,-0.0126,0.01158,-0.9957,0.00294,0.00581,0.00225
1787584026.3092356,-0.01164,0.01077,-0.99615,0.0003,0.00395,0.00426
1787584082.301145,-0.00217,0.01152,-0.99858,0.00323,0.00387,0.00364
1787584082.301145,-0.00371,0.00933,-0.99739,0.00262,0.00501,0.00826
1787584082.510363,-0.00351,0.01135,-0.99709,0.00373,0.00503,0.00466
1787584082.6403103,-0.00439,0.01022,-0.99719,0.00104,0.00431,0.00656
1787584082.6403103,-0.00294,0.00995,-0.99751,0.00345,0.00464,0.00742
1787584082.8262024,-0.00346,0.01048,-0.9973,0.00241,0.00696,0.00534
